"","X.1","X","game_pk","officialDate","doubleHeader","dayNight","teams.away.leagueRecord.wins","teams.away.leagueRecord.losses","teams.away.leagueRecord.pct","teams.home.leagueRecord.wins","teams.home.leagueRecord.losses","teams.home.leagueRecord.pct","home_team_abb","league_home","division_home","away_team_abb","league_away","division_away","interplay","intradivision","winHome","home_games_10days","away_games_10days","home_sos_losses","home_sos_wins","home_sos_total","away_sos_losses","away_sos_wins","away_sos_total","home_exp_pct","wins_last5","home_wins_last10","home_losses_last10","home_wins_last10_athome","home_losses_last10_athome","home_runs_scored_last10","home_runs_against_last10","home_extra_innings_games","home_extra_innings_games_last","htoh_wins_home","htoh_wins_away","away_exp_pct","away_wins_last5","away_wins_last10","away_losses_last10","away_wins_last10_away","away_losses_last10_away","away_runs_scored_last10","away_runs_against_last10","away_extra_innings_games","away_extra_innings_games_last","away_pitcher_winpct","home_pitcher_winpct","away_pitcher_mean_ip","home_pitcher_mean_ip","away_pitcher_ERA","home_pitcher_ERA","away_pitcher_WHIP","home_pitcher_WHIP","last30_away_pitcher_winpct","last30_home_pitcher_winpct","last30_away_pitcher_mean_ip","last30_home_pitcher_mean_ip","last30_away_pitcher_ERA","last30_home_pitcher_ERA","last30_away_pitcher_WHIP","last30_home_pitcher_WHIP","home_dif_win_pct","away_dif_win_pct"
"31",31,31,718596,"2023-04-13","N","day",3,9,0.25,6,6,0.5,"BAL","American League","American League East","OAK","American League","American League West",0,0,"1",9,9,0.413+0i,0.473166666666667,0.443083333333333,0.413+0i,0.473166666666667,0.443083333333333,0.5,2,5,5,3,3,48,48,0,0,2,1,0.18290033065659,1,2,8,1,5,41,79,2,0,1,0,19.2,4.06666666666667,10.07,10.66,2.085,1.974,Inf,NA,Inf,NA,11.74,NA,2.478,NA,0,-0.0670996693434105
"32",32,32,718594,"2023-04-13","N","day",5,7,0.417,12,0,1,"TBR","American League","American League East","BOS","American League","American League East",0,1,"1",9,9,NA,0.263583333333333,0.263583333333333,NA,0.263583333333333,0.263583333333333,0.92070053301425,5,10,0,7,0,76,25,0,0,3,0,0.530275229357798,2,4,6,3,3,50,46,0,0,0.25,0.666666666666667,4.8875,5.33333333333333,6.41,0.56,1.475,0.5,0.4,NA,5.22,NA,6.15,NA,1.481,NA,-0.0792994669857501,0.113275229357798
"33",33,33,718597,"2023-04-13","N","night",4,8,0.333,4,7,0.364,"CIN","National League","National League Central","PHI","National League","National League East",0,0,"1",8,9,0.372285714285714+0i,0.552,0.437636363636364,0.372285714285714+0i,0.552,0.437636363636364,0.442499078510874,1,4,6,3,1,45,50,1,0,1,2,0.373868046571798,2,4,6,1,3,41,39,1,1,0,0.285714285714286,5.72857142857143,4.87142857142857,5.13,6.29,1.438,1.748,0,0,6.275,4.275,5.33,10.38,1.5,2.077,0.0784990785108736,0.0408680465717982
"34",34,34,718590,"2023-04-13","N","night",8,4,0.667,8,4,0.667,"NYY","American League","American League East","MIN","American League","American League Central",0,0,"0",9,9,0.275+0i,0.37375,0.340833333333333,0.275+0i,0.37375,0.340833333333333,0.773596673596674,4,7,3,3,1,51,26,0,0,0,0,0.683266316115063,3,6,4,2,2,43,32,2,0,0.75,0.375,6.25,4.5125,2.16,5.2,0.84,1.431,0.6,0.2,6.2,5.04,1.74,4.56,0.968,1.442,0.106596673596674,0.0162663161150634
"35",35,35,718593,"2023-04-13","N","night",2,9,0.182,8,4,0.667,"TOR","American League","American League East","DET","American League","American League Central",0,0,"0",9,8,0.26775+0i,0.291375,0.2835,0.26775+0i,0.291375,0.2835,0.522888759464182,4,7,3,2,0,56,51,2,0,2,0,0.162198391420912,0,2,8,2,5,33,71,2,1,0.142857142857143,0.555555555555556,4.42857142857143,6.22222222222222,7.26,3.05,1.677,1.018,0,0.666666666666667,4.5,6.7,6,1.33,1.5,0.787,-0.144111240535818,-0.0198016085790885
"36",36,36,718591,"2023-04-13","N","night",7,5,0.583,5,7,0.417,"STL","National League","National League Central","PIT","National League","National League Central",0,1,"0",9,9,0.6+0i,0.6458,0.619083333333333,0.6+0i,0.6458,0.619083333333333,0.473930784343358,3,4,6,1,3,43,48,0,0,0,0,0.41944847605225,2,6,4,3,1,44,50,0,0,0.571428571428571,0.222222222222222,5.01428571428571,5.67777777777778,3.06,4.21,1.16,1.344,0.75,0,5.5,5.5,1.64,5.18,0.909,1.485,0.056930784343358,-0.16355152394775
"37",37,37,718589,"2023-04-13","N","night",8,4,0.667,7,6,0.538,"SDP","National League","National League West","MIL","National League","National League Central",0,0,"0",9,9,0.538833333333333+0i,0.712285714285714,0.632230769230769,0.538833333333333+0i,0.712285714285714,0.632230769230769,0.518175809649703,3,6,4,2,1,45,39,0,0,0,0,0.744247787610619,2,7,3,2,2,55,29,0,0,0,0.5,5.16666666666667,9.775,5.52,2.75,1.29,1.017,0,2,5.02,21.2,6.39,0.42,1.461,0.692,-0.0198241903502975,0.0772477876106195
"38",38,38,718585,"2023-04-14","N","night",5,7,0.417,3,9,0.25,"DET","American League","American League Central","SFG","National League","National League West",1,0,"1",8,8,0.536777777777778+0i,0.522333333333333,0.533166666666667,0.536777777777778+0i,0.522333333333333,0.533166666666667,0.183257918552036,1,3,7,0,3,34,60,2,0,0,0,0.474805928016937,2,4,6,2,2,51,51,0,0,0.166666666666667,0.125,4.53333333333333,4.525,7.81,6.38,1.699,1.446,0.25,0.2,4.025,4.8,9.92,6.38,2.082,1.5,-0.0667420814479638,0.0578059280169372
"39",39,39,718586,"2023-04-14","N","night",4,9,0.308,5,7,0.417,"CIN","National League","National League Central","PHI","National League","National League East",0,0,"0",8,9,0.372285714285714+0i,0.5082,0.428916666666667,0.372285714285714+0i,0.5082,0.428916666666667,0.482148549569653,2,4,6,3,1,45,50,1,0,2,2,0.35143250344051,1,4,6,1,3,42,43,1,0,0.333333333333333,0,4.56666666666667,3.66666666666667,6.53,11.45,1.5,2.364,0.333333333333333,NA,4.35,NA,7.86,NA,1.557,NA,0.0651485495696525,0.0434325034405105
"40",40,40,718584,"2023-04-14","N","night",8,5,0.615,6,7,0.462,"MIA","National League","National League East","ARI","National League","National League West",0,0,"1",8,8,0.489857142857143+0i,0.686666666666667,0.580692307692308,0.489857142857143+0i,0.686666666666667,0.580692307692308,0.272447325769854,3,5,5,2,2,34,55,1,0,0,0,0.483875162548765,4,7,3,2,1,56,44,0,0,0,0.25,4.05,4.5,10.26,4,2.4,1.222,0,0,3,3,21,3,3.667,1.333,-0.189552674230146,-0.131124837451235
"41",41,41,718592,"2023-04-14","N","night",7,6,0.538,4,9,0.308,"WSN","National League","National League East","CLE","American League","American League Central",1,0,"0",9,8,0.634555555555556+0i,0.59,0.620846153846154,0.634555555555556+0i,0.59,0.620846153846154,0.345945945945946,2,3,7,0,3,41,51,0,0,0,0,0.466703662597114,2,5,5,3,1,47,55,4,0,0.25,0.125,5.6375,4.7625,3.97,4.23,1.346,1.304,0.4,0,5.84,4.6,3.03,4.7,1.18,1.391,0.037945945945946,-0.0712963374028857
"42",42,42,718588,"2023-04-14","N","night",9,4,0.692,8,5,0.615,"NYY","American League","American League East","MIN","American League","American League Central",0,0,"0",9,9,0.3534+0i,0.37375,0.365923076923077,0.3534+0i,0.37375,0.365923076923077,0.672142252328535,3,6,4,2,2,47,37,0,0,0,1,0.744247787610619,3,6,4,2,2,47,30,2,0,0.25,0.375,5.75,5.2625,4.3,5.53,1.217,1.323,0.333333333333333,0.2,5.66666666666667,5,4.24,7.56,1.235,1.52,0.0571422523285352,0.0522477876106195
"43",43,43,718587,"2023-04-14","N","night",13,0,1,8,5,0.615,"TOR","American League","American League East","TBR","American League","American League East",0,1,"1",9,9,0.2506+0i,0.291375,0.275692307692308,0.2506+0i,0.291375,0.275692307692308,0.5074070009876,3,7,3,2,1,53,45,2,0,0,0,0.918926222862805,5,10,0,3,0,80,27,0,0,0.5,NA,5.525,NA,2.62,NA,1.052,NA,0.4,NA,5.42,NA,2.63,NA,1.171,NA,-0.1075929990124,-0.0810737771371949
